Name,Type,Color,Power Supply,Side Panel,External volume,"Internal 3.5"" bays",Rating,Price
MSI MAG FORGE M100A,MicroATX Mid Tower,Black,None,Tempered Glass,32.8,2,1,
Thermaltake The Tower 300,MicroATX Mini Tower,Black,None,Tempered Glass,53,3,4,129.99
NZXT H7 Flow RGB ,ATX Mid Tower,Black,None,Tempered Glass,62.1,2,3,149.99
FormD T1 V2.1 CNC Anodized,Mini ITX Desktop,Black,None,Mesh,,0,2,
Corsair 2500X,MicroATX Mini Tower,Black,None,Tempered Glass,54.8,2,2,159.99
NZXT H9 Flow ,ATX Mid Tower,White,None,Tempered Glass,66.9,2,55,
Corsair iCUE 7000X RGB,ATX Full Tower,Black,None,Tempered Glass,81.8,6,8,359.99
Cooler Master N200,MicroATX Mini Tower,Black,None,None,33.8,2,141,59.99
Corsair iCUE 5000D RGB AIRFLOW,ATX Mid Tower,Black,None,Tempered Glass,66.2,2,8,99.99
be quiet! Light Base 900 FX,ATX Full Tower,Black,None,Tempered Glass,84.2,1,1,229.5
Corsair FRAME 4500X RS-R ARGB,ATX Mid Tower,Black,None,Tempered Glass,58.7,1,0,119
MSI MAG PANO 110R PZ,ATX Mid Tower,Black,None,Tempered Glass,45.8,4,1,79.99
NZXT H9 Flow ,ATX Mid Tower,Black,None,Tempered Glass,66.9,2,36,
Fractal Design Focus 2,ATX Mid Tower,Black,None,None,45.8,2,8,74.98
DARKROCK Classico Storage Master,ATX Mid Tower,Black,None,Mesh,,10,1,89.99
NZXT H5 Flow RGB ,ATX Mid Tower,White,None,Tempered Glass,45,1,2,95.99
MUSETEX NN8,ATX Mid Tower,Black,None,Tempered Glass,39.5,2,4,66.98
Deepcool CC560 V2,ATX Mid Tower,Black,None,Tempered Glass,44.9,2,5,
Fractal Design Meshify 3 Ambience Pro RGB,ATX Mid Tower,Black,None,Tinted Tempered Glass,50.3,2,4,191.99
Montech X3 Mesh,ATX Mid Tower,White,None,Tempered Glass,,2,4,59.99
Jonsbo C6,MicroATX Mini Tower,Black,None,Mesh,15.9,1,2,60
be quiet! Pure Base 500DX,ATX Mid Tower,Black,None,Tempered Glass,48.3,2,92,
Lian Li LANCOOL 217 INF,ATX Mid Tower,White,None,Tempered Glass,57.7,4,2,129.99
Zalman S4,ATX Mid Tower,Black,None,Tinted Acrylic,,2,1,49.98
SAMA SV01,ATX Mid Tower,Black,None,Tempered Glass,43.5,2,5,74.99
Antec C3 ARGB,ATX Mid Tower,Black,None,Tempered Glass,47.9,1,2,
Phanteks Enthoo Pro Tempered Glass,ATX Full Tower,Black,None,Tinted Tempered Glass,69.1,6,14,129.99
Corsair FRAME 4500X LX-R RGB iCUE LINK,ATX Mid Tower,Black,None,Tempered Glass,58.7,1,1,159.99
Asus TUF Gaming GT502,ATX Mid Tower,Black,None,Tempered Glass,57.2,4,4,174.99
Fractal Design North Momentum Edition,ATX Mid Tower,Black,None,Tempered Glass,45.1,2,0,179.99
Fractal Design Core 1000 USB 3.0,MicroATX Mid Tower,Black,None,None,25.8,2,38,49.99
Lian Li LANCOOL 216 RGB,ATX Mid Tower,White,None,Tempered Glass,55.6,2,26,112.99
Phanteks Enthoo Elite,ATX Full Tower,Black,None,Tinted Tempered Glass,124.5,6,3,
HYTE Y70,ATX Mid Tower,White / Black,None,Tempered Glass,70.7,2,5,199.99
Fractal Design Pop Mini Silent,MicroATX Mid Tower,Black,None,None,36.5,2,4,84.99
Mars Gaming MC-S2,MicroATX Mini Tower,White,None,Acrylic,19.5,1,0,35.99
NZXT H9 Elite,ATX Mid Tower,White,None,Tempered Glass,66.9,2,16,
Deepcool CC360 ARGB,MicroATX Mini Tower,Black,None,Tinted Tempered Glass,38.7,2,12,
Fractal Design North XL Momentum Edition,ATX Full Tower,Black,None,Tempered Glass,61.4,2,0,209.99
SAMA 3509,ATX Mid Tower,Black,None,Tempered Glass,41.4,2,2,64.98
MSI MAG PANO M100R PZ,MicroATX Mid Tower,White,None,Tempered Glass,41.9,1,5,81.99
Jonsbo N6,MicroATX Mid Tower,Black,None,Mesh,34.2,0,0,175.99
Lian Li TU150,Mini ITX Desktop,Silver,None,Tempered Glass,23.8,1,17,
Asus Prime AP201,MicroATX Mini Tower,Black,None,Tempered Glass,33,3,15,79.98
Asus TUF Gaming GT302 ARGB,ATX Mid Tower,Black,None,Tempered Glass,59.3,2,3,164.99
KOLINK Observatory MX Glass ARGB,ATX Mid Tower,Black,None,Tempered Glass,30.8,2,1,
Corsair 3000D RGB AIRFLOW,ATX Mid Tower,Black,None,Tempered Glass,49.5,2,4,124.99
Thermaltake Core P7,ATX Full Tower,Black,None,Tempered Glass,281.9,3,2,
DIYPC ARGB-G5,MicroATX Mid Tower,Black,None,Tempered Glass,,1,0,52.96
GAMDIAS ATHENA M4M,MicroATX Desktop,Black,None,Tempered Glass,36.4,1,1,79.98
Cooler Master Elite 502,ATX Mid Tower,Black,None,Tempered Glass,52.4,2,0,88.99
Montech X5M,MicroATX Mini Tower,White,None,Tempered Glass,45.3,2,0,54.9
be quiet! Light Base 600 LX,ATX Mid Tower,Black,None,Tempered Glass,59.7,1,7,133.99
HYTE REVOLT 3,Mini ITX Tower,Black,None,Mesh,18.4,1,3,99.99
Thermaltake View 270 Plus TG ARGB,ATX Mid Tower,White,None,Tempered Glass,47.6,2,4,69.98
Lian Li LANCOOL 217,ATX Mid Tower,White / Brown,None,Tempered Glass,57.7,1,3,119.99
Lian Li LANCOOL 205M MESH,MicroATX Mini Tower,Black,None,Tempered Glass,33.8,2,15,96.99
Corsair AIR 5400 RS-R ARGB,ATX Mid Tower,Black,None,Tempered Glass,74.6,1,2,204.99
be quiet! Silent Base 802,ATX Mid Tower,Black,None,None,83.8,3,2,179.78
Asus ROG Strix Helios II,ATX Mid Tower,White,None,Tempered Glass,83.5,2,0,399.99
MSI MAG FORGE 112R,ATX Mid Tower,Black,None,Tempered Glass,42.5,2,7,99.99
Corsair FRAME 4000D,ATX Mid Tower,White,None,Tempered Glass,56.7,2,1,92.75
Deepcool CH270 DIGITAL,MicroATX Mini Tower,Black,None,Tempered Glass,32.4,1,1,
HYTE Y40,ATX Mid Tower,Black,None,Tempered Glass,49.7,1,14,109.99
HAVN HS420 VGPU,ATX Mid Tower,White,None,Tempered Glass,76.8,5,3,329.99
Phanteks XT View,ATX Mid Tower,Black,None,Tempered Glass,50.6,2,7,
Cooler Master NR200P V3,Mini ITX Desktop,Black,None,Acrylic,20.4,1,0,130.99
NZXT H7 Flow RGB ,ATX Mid Tower,White,None,Tempered Glass,62.1,2,0,79.98
